,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
172,39,2022-02-05,1,12 am - 1 am,0.158,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
173,39,2022-02-05,1,12 am - 1 am,0.187,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
174,39,2022-02-05,1,12 am - 1 am,0.641606,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
175,39,2022-02-05,1,12 am - 1 am,1.75265,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
176,39,2022-02-05,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
177,39,2022-02-05,1,12 am - 1 am,24.653,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
178,107,2022-02-05,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
179,107,2022-02-05,1,12 am - 1 am,-0.218843,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
180,107,2022-02-05,1,12 am - 1 am,0.15,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
181,107,2022-02-05,1,12 am - 1 am,0.285,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
182,107,2022-02-05,1,12 am - 1 am,0.911791,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
183,107,2022-02-05,1,12 am - 1 am,1.7477,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
184,107,2022-02-05,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
185,107,2022-02-05,1,12 am - 1 am,27.972,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
